time_referencia,competicao,pais_competicao,data_jogo,time_casa,time_fora,jogo,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias
Arsenal,Premier League,England,2026-04-25 16:30:00,Arsenal,Newcastle United,Arsenal x Newcastle United,1 x 0,4-3-3,4-1-4-1,David Raya | Ben White | William Saliba | Gabriel Magalhães | Piero Hincapié | Martin Ødegaard | Martín Zubimendi | Declan Rice | Noni Madueke | Kai Havertz | Eberechi Eze,Nick Pope | Lewis Miley | Malick Thiaw | Sven Botman | Dan Burn | Sandro Tonali | Jacob Murphy | Joe Willock | Bruno Guimarães | Jacob Ramsey | William Osula,[FORA] 86' Anthony Elanga entrou no lugar de Joe Willock | [CASA] 81' Bukayo Saka entrou no lugar de Noni Madueke | [CASA] 81' Myles Lewis-Skelly entrou no lugar de Martín Zubimendi | [FORA] 75' Nick Woltemade entrou no lugar de Bruno Guimarães | [FORA] 66' Yoane Wissa entrou no lugar de William Osula | [FORA] 66' Harvey Barnes entrou no lugar de Jacob Murphy | [CASA] 53' Gabriel Martinelli entrou no lugar de Eberechi Eze | [CASA] 34' Viktor Gyökeres entrou no lugar de Kai Havertz,[CASA] 9' Eberechi Eze,[CASA] 9' Kai Havertz -> Eberechi Eze
PSG,Ligue 1,France,2026-04-22 17:00:00,Paris Saint-Germain,Nantes,Paris Saint-Germain x Nantes,3 x 0,4-3-3,5-3-2,Matvey Safonov | Achraf Hakimi | Marquinhos | Ilya Zabarnyi | Warren Zaïre-Emery | João Neves | Lucas Beraldo | Dro Fernández | Désiré Doué | Ousmane Dembélé | Khvicha Kvaratskhelia,Anthony Lopes | Mathieu Acapandié | Frédéric Guilbert | Ali Youssef | Nicolas Cozza | Deiver Machado | Johann Lepenant | Ibrahima Sissoko | Louis Leroux | Mostafa Mohamed | Matthis Abline,[FORA] 80' Youssef El Arabi entrou no lugar de Matthis Abline | [FORA] 79' Chidozie Awaziem entrou no lugar de Mathieu Acapandié | [FORA] 73' Bahmed Deuff entrou no lugar de Johann Lepenant | [CASA] 65' Ibrahim Mbaye entrou no lugar de Khvicha Kvaratskhelia | [CASA] 65' Bradley Barcola entrou no lugar de Ousmane Dembélé | [FORA] 65' Ignatius Kpene Ganago entrou no lugar de Mostafa Mohamed | [FORA] 65' Dehmaine Tabibou entrou no lugar de Louis Leroux | [CASA] 60' Senny Mayulu entrou no lugar de Warren Zaïre-Emery | [CASA] 60' Lucas Hernández entrou no lugar de Achraf Hakimi | [CASA] 60' Fabián Ruiz entrou no lugar de João Neves,[CASA] 50' Khvicha Kvaratskhelia | [CASA] 37' Désiré Doué | [CASA] 13' Khvicha Kvaratskhelia,[CASA] 50' Ousmane Dembélé -> Khvicha Kvaratskhelia | [CASA] 37' Achraf Hakimi -> Désiré Doué
PSG,Ligue 1,France,2026-04-19 18:45:00,Paris Saint-Germain,Olympique Lyonnais,Paris Saint-Germain x Olympique Lyonnais,1 x 2,4-3-3,4-3-1-2,Matvey Safonov | Achraf Hakimi | Ilya Zabarnyi | Willian Pacho | Lucas Hernández | Senny Mayulu | Lucas Beraldo | Vitinha | Désiré Doué | Gonçalo Ramos | Bradley Barcola,Dominik Greif | Ainsley Maitland-Niles | Clinton Mata | Moussa Niakhaté | Ruben Kluivert | Tyler Morton | Orel Mangala | Abner Vinícius | Khalis Merah | Endrick | Afonso Moreira,[FORA] 85' Noham Kamara entrou no lugar de Khalis Merah | [FORA] 79' Adam Karabec entrou no lugar de Endrick | [FORA] 79' Tanner Tessmann entrou no lugar de Orel Mangala | [CASA] 72' Fabián Ruiz entrou no lugar de Bradley Barcola | [FORA] 60' Hans Hateboer entrou no lugar de Ruben Kluivert | [CASA] 59' Kang-in Lee entrou no lugar de Senny Mayulu | [CASA] 59' Khvicha Kvaratskhelia entrou no lugar de Désiré Doué | [CASA] 59' Ousmane Dembélé entrou no lugar de Gonçalo Ramos | [CASA] 39' Warren Zaïre-Emery entrou no lugar de Vitinha,[CASA] 90+4' Khvicha Kvaratskhelia | [FORA] 18' Afonso Moreira | [FORA] 6' Endrick,[CASA] 90+4' Fabián Ruiz -> Khvicha Kvaratskhelia | [FORA] 18' Endrick -> Afonso Moreira | [FORA] 6' Afonso Moreira -> Endrick
Arsenal,Premier League,England,2026-04-19 15:30:00,Manchester City,Arsenal,Manchester City x Arsenal,2 x 1,4-2-3-1,4-3-3,Gianluigi Donnarumma | Matheus Nunes | Abdukodir Khusanov | Marc Guéhi | Nico O'Reilly | Bernardo Silva | Rodri | Antoine Semenyo | Rayan Cherki | Jérémy Doku | Erling Haaland,David Raya | Cristhian Mosquera | William Saliba | Gabriel Magalhães | Piero Hincapié | Martin Ødegaard | Martín Zubimendi | Declan Rice | Noni Madueke | Kai Havertz | Eberechi Eze,[CASA] 90' Nathan Aké entrou no lugar de Antoine Semenyo | [CASA] 88' Nico González entrou no lugar de Rodri | [CASA] 88' Savinho entrou no lugar de Jérémy Doku | [CASA] 85' Phil Foden entrou no lugar de Rayan Cherki | [FORA] 84' Viktor Gyökeres entrou no lugar de Martín Zubimendi | [FORA] 74' Ben White entrou no lugar de Cristhian Mosquera | [FORA] 74' Leandro Trossard entrou no lugar de Eberechi Eze | [FORA] 46' Gabriel Martinelli entrou no lugar de Noni Madueke,[CASA] 65' Erling Haaland | [FORA] 18' Kai Havertz | [CASA] 16' Rayan Cherki,[CASA] 16' Matheus Nunes -> Rayan Cherki
Arsenal,"UEFA Champions League, Knockout stage",Europe,2026-04-15 19:00:00,Arsenal,Sporting CP,Arsenal x Sporting CP,0 x 0,4-2-3-1,4-2-3-1,David Raya | Cristhian Mosquera | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Noni Madueke | Eberechi Eze | Gabriel Martinelli | Viktor Gyökeres,Rui Silva | Eduardo Quaresma | Ousmane Diomande | Gonçalo Inácio | Maximiliano Araújo | Morten Hjulmand | Hidemasa Morita | Geny Catamo | Francisco Trincão | Pedro Gonçalves | Luis Javier Suárez,[FORA] 85' Rafael Nel entrou no lugar de Francisco Trincão | [FORA] 85' Georgios Vagiannidis entrou no lugar de Eduardo Quaresma | [CASA] 79' Gabriel Jesus entrou no lugar de Eberechi Eze | [CASA] 79' Leandro Trossard entrou no lugar de Gabriel Martinelli | [FORA] 77' João Simões entrou no lugar de Hidemasa Morita | [FORA] 71' Daniel Bragança entrou no lugar de Pedro Gonçalves | [FORA] 71' Geovany Quenda entrou no lugar de Geny Catamo | [CASA] 63' Max Dowman entrou no lugar de Noni Madueke | [CASA] 56' Kai Havertz entrou no lugar de Viktor Gyökeres,,
PSG,"UEFA Champions League, Knockout stage",Europe,2026-04-14 19:00:00,Liverpool FC,Paris Saint-Germain,Liverpool FC x Paris Saint-Germain,0 x 2,4-2-3-1,4-3-3,Giorgi Mamardashvili | Jeremie Frimpong | Ibrahima Konaté | Virgil van Dijk | Miloš Kerkez | Ryan Gravenberch | Dominik Szoboszlai | Hugo Ekitiké | Alexis Mac Allister | Florian Wirtz | Alexander Isak,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | João Neves | Vitinha | Warren Zaïre-Emery | Désiré Doué | Ousmane Dembélé | Khvicha Kvaratskhelia,[FORA] 81' Lucas Beraldo entrou no lugar de Warren Zaïre-Emery | [CASA] 74' Curtis Jones entrou no lugar de Alexis Mac Allister | [CASA] 67' Rio Ngumoha entrou no lugar de Joe Gomez | [FORA] 52' Bradley Barcola entrou no lugar de Désiré Doué | [CASA] 46' Cody Gakpo entrou no lugar de Alexander Isak | [CASA] 46' Joe Gomez entrou no lugar de Jeremie Frimpong | [FORA] 38' Lucas Hernández entrou no lugar de Nuno Mendes | [CASA] 31' Mohamed Salah entrou no lugar de Hugo Ekitiké,[FORA] 90+1' Ousmane Dembélé | [FORA] 72' Ousmane Dembélé,[FORA] 90+1' Bradley Barcola -> Ousmane Dembélé | [FORA] 72' Khvicha Kvaratskhelia -> Ousmane Dembélé
Arsenal,Premier League,England,2026-04-11 11:30:00,Arsenal,Bournemouth,Arsenal x Bournemouth,1 x 2,4-2-3-1,4-2-3-1,David Raya | Ben White | William Saliba | Gabriel Magalhães | Myles Lewis-Skelly | Martín Zubimendi | Declan Rice | Noni Madueke | Kai Havertz | Gabriel Martinelli | Viktor Gyökeres,Đorđe Petrović | Álex Jiménez | James Hill | Marcos Senesi | Adrien Truffert | Alex Scott | Ryan Christie | Rayan | Eli Junior Kroupi | Marcus Tavernier | Evanilson,[FORA] 90' Adam Smith entrou no lugar de Álex Jiménez | [FORA] 90' Enes Ünal entrou no lugar de Evanilson | [FORA] 85' Alex Tóth entrou no lugar de Eli Junior Kroupi | [CASA] 76' Gabriel Jesus entrou no lugar de Martín Zubimendi | [CASA] 76' Cristhian Mosquera entrou no lugar de Ben White | [FORA] 70' David Brooks entrou no lugar de Rayan | [FORA] 70' Tyler Adams entrou no lugar de Ryan Christie | [CASA] 54' Leandro Trossard entrou no lugar de Gabriel Martinelli | [CASA] 54' Max Dowman entrou no lugar de Noni Madueke | [CASA] 54' Eberechi Eze entrou no lugar de Kai Havertz,[FORA] 74' Alex Scott | [CASA] 35' Viktor Gyökeres | [FORA] 17' Eli Junior Kroupi,[FORA] 74' Evanilson -> Alex Scott
PSG,"UEFA Champions League, Knockout stage",Europe,2026-04-08 19:00:00,Paris Saint-Germain,Liverpool FC,Paris Saint-Germain x Liverpool FC,2 x 0,4-3-3,3-5-2,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | João Neves | Vitinha | Warren Zaïre-Emery | Désiré Doué | Ousmane Dembélé | Khvicha Kvaratskhelia,Giorgi Mamardashvili | Ibrahima Konaté | Virgil van Dijk | Joe Gomez | Jeremie Frimpong | Dominik Szoboszlai | Ryan Gravenberch | Alexis Mac Allister | Miloš Kerkez | Florian Wirtz | Hugo Ekitiké,[FORA] 90' Trey Nyoni entrou no lugar de Jeremie Frimpong | [CASA] 88' Lucas Hernández entrou no lugar de Ousmane Dembélé | [FORA] 78' Cody Gakpo entrou no lugar de Florian Wirtz | [FORA] 78' Curtis Jones entrou no lugar de Dominik Szoboszlai | [FORA] 78' Alexander Isak entrou no lugar de Hugo Ekitiké | [FORA] 78' Andy Robertson entrou no lugar de Miloš Kerkez | [CASA] 78' Kang-in Lee entrou no lugar de Désiré Doué,[CASA] 65' Khvicha Kvaratskhelia | [CASA] 11' Désiré Doué,[CASA] 65' João Neves -> Khvicha Kvaratskhelia
Arsenal,"UEFA Champions League, Knockout stage",Europe,2026-04-07 19:00:00,Sporting CP,Arsenal,Sporting CP x Arsenal,0 x 1,4-2-3-1,4-3-3,Rui Silva | Iván Fresneda | Ousmane Diomande | Gonçalo Inácio | Maximiliano Araújo | Hidemasa Morita | João Simões | Geny Catamo | Francisco Trincão | Pedro Gonçalves | Luis Javier Suárez,David Raya | Ben White | William Saliba | Gabriel Magalhães | Riccardo Calafiori | Martin Ødegaard | Martín Zubimendi | Declan Rice | Noni Madueke | Viktor Gyökeres | Leandro Trossard,[CASA] 79' Rafael Nel entrou no lugar de Pedro Gonçalves | [FORA] 76' Max Dowman entrou no lugar de Noni Madueke | [FORA] 76' Gabriel Martinelli entrou no lugar de Leandro Trossard | [FORA] 70' Kai Havertz entrou no lugar de Martin Ødegaard | [CASA] 62' Daniel Bragança entrou no lugar de João Simões,[FORA] 90+1' Kai Havertz,[FORA] 90+1' Gabriel Martinelli -> Kai Havertz
Arsenal,FA Cup,England,2026-04-04 19:00:00,Southampton,Arsenal,Southampton x Arsenal,2 x 1,4-2-3-1,4-2-3-1,Daniel Peretz | James Bree | Taylor Harwood-Bellis | Nathan Wood | Ryan Manning | Cameron Bragg | Caspar Jander | Tom Fellows | Finn Azaz | Leo Scienza | Ross Stewart,Kepa Arrizabalaga | Ben White | Cristhian Mosquera | Gabriel Magalhães | Myles Lewis-Skelly | Martin Ødegaard | Christian Nørgaard | Max Dowman | Kai Havertz | Gabriel Martinelli | Gabriel Jesus,[CASA] 90' Joshua Quarshie entrou no lugar de Ryan Manning | [FORA] 79' Martín Zubimendi entrou no lugar de Kai Havertz | [CASA] 76' Shea Charles entrou no lugar de Cameron Bragg | [FORA] 72' William Saliba entrou no lugar de Gabriel Magalhães | [CASA] 71' Samuel Edozie entrou no lugar de Leo Scienza | [CASA] 70' Cyle Larin entrou no lugar de Ross Stewart | [FORA] 61' Noni Madueke entrou no lugar de Martin Ødegaard | [FORA] 60' Riccardo Calafiori entrou no lugar de Myles Lewis-Skelly | [FORA] 60' Viktor Gyökeres entrou no lugar de Gabriel Jesus,[CASA] 85' Shea Charles | [FORA] 68' Viktor Gyökeres | [CASA] 35' Ross Stewart,[CASA] 85' Tom Fellows -> Shea Charles | [FORA] 68' Kai Havertz -> Viktor Gyökeres | [CASA] 35' James Bree -> Ross Stewart
