time_referencia,competicao,pais_competicao,data_jogo,time_casa,time_fora,jogo,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias
PSG,Ligue 1,France,2026-04-03 18:45:00,Paris Saint-Germain,Toulouse,Paris Saint-Germain x Toulouse,3 x 1,4-3-3,3-4-2-1,Matvey Safonov | Achraf Hakimi | Ilya Zabarnyi | Willian Pacho | Lucas Hernández | Warren Zaïre-Emery | Lucas Beraldo | Désiré Doué | Kang-in Lee | Ousmane Dembélé | Khvicha Kvaratskhelia,Guillaume Restes | Mark McKenzie | Seny Koumbassa | Rasmus Nicolaisen | Djibril Sidibé | Cristian Cásseres Jr. | Pape Diop | Dayann Methalie | Aron Dønnum | Yann Gboho | Emersonn,[CASA] 87' Gonçalo Ramos entrou no lugar de Désiré Doué | [FORA] 83' Jacen Russell Rowe entrou no lugar de Emersonn | [FORA] 83' Ilyas Azizi entrou no lugar de Djibril Sidibé | [FORA] 83' Mario Sauer entrou no lugar de Cristian Cásseres Jr. | [CASA] 68' Nuno Mendes entrou no lugar de Khvicha Kvaratskhelia | [CASA] 67' Vitinha entrou no lugar de Lucas Beraldo | [FORA] 67' Waren Kamanzi entrou no lugar de Dayann Methalie | [CASA] 59' João Neves entrou no lugar de Kang-in Lee,[CASA] 90+2' Gonçalo Ramos | [CASA] 33' Ousmane Dembélé | [FORA] 27' Rasmus Nicolaisen | [CASA] 23' Ousmane Dembélé,[CASA] 90+2' Nuno Mendes -> Gonçalo Ramos | [CASA] 33' Khvicha Kvaratskhelia -> Ousmane Dembélé | [FORA] 27' Djibril Sidibé -> Rasmus Nicolaisen
Arsenal,EFL Cup,England,2026-03-22 16:30:00,Arsenal,Manchester City,Arsenal x Manchester City,0 x 2,4-2-3-1,4-2-3-1,Kepa Arrizabalaga | Ben White | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Bukayo Saka | Kai Havertz | Leandro Trossard | Viktor Gyökeres,James Trafford | Matheus Nunes | Abdukodir Khusanov | Nathan Aké | Nico O'Reilly | Rodri | Bernardo Silva | Antoine Semenyo | Rayan Cherki | Jérémy Doku | Erling Haaland,[FORA] 90' Phil Foden entrou no lugar de Rayan Cherki | [CASA] 82' Gabriel Jesus entrou no lugar de Ben White | [CASA] 82' Gabriel Martinelli entrou no lugar de Leandro Trossard | [CASA] 66' Noni Madueke entrou no lugar de Kai Havertz | [CASA] 65' Riccardo Calafiori entrou no lugar de Piero Hincapié,[FORA] 64' Nico O'Reilly | [FORA] 60' Nico O'Reilly,[FORA] 64' Matheus Nunes -> Nico O'Reilly
PSG,Ligue 1,France,2026-03-21 20:05:00,Nice,Paris Saint-Germain,Nice x Paris Saint-Germain,0 x 4,3-5-1-1,4-3-3,Yehvann Diouf | Antoine Mendy | Dante | Abdulay Juma Bah | Jonathan Clauss | Morgan Sanson | Youssouf Ndayishimiye | Hicham Boudaoui | Melvin Bard | Sofiane Diop | Elye Wahi,Matvey Safonov | Warren Zaïre-Emery | Ilya Zabarnyi | Willian Pacho | Lucas Hernández | Kang-in Lee | Vitinha | Senny Mayulu | Désiré Doué | Khvicha Kvaratskhelia | Nuno Mendes,[FORA] 76' Dro Fernández entrou no lugar de Nuno Mendes | [FORA] 76' Gonçalo Ramos entrou no lugar de Désiré Doué | [FORA] 76' Ibrahim Mbaye entrou no lugar de Khvicha Kvaratskhelia | [CASA] 72' Kevin Carlos Omoruyi entrou no lugar de Elye Wahi | [CASA] 71' Ali Abdi entrou no lugar de Dante | [CASA] 65' Kaïl Boudache entrou no lugar de Sofiane Diop | [FORA] 64' Ousmane Dembélé entrou no lugar de Kang-in Lee | [FORA] 43' Lucas Beraldo entrou no lugar de Senny Mayulu,[FORA] 85' Warren Zaïre-Emery | [FORA] 81' Dro Fernández | [FORA] 49' Désiré Doué | [FORA] 42' Nuno Mendes,[FORA] 81' Ousmane Dembélé -> Dro Fernández | [FORA] 49' Nuno Mendes -> Désiré Doué
Arsenal,"UEFA Champions League, Knockout stage",Europe,2026-03-17 20:00:00,Arsenal,Bayer 04 Leverkusen,Arsenal x Bayer 04 Leverkusen,2 x 0,4-2-3-1,3-4-2-1,David Raya | Ben White | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Bukayo Saka | Eberechi Eze | Leandro Trossard | Viktor Gyökeres,Janis Blaswich | Jarell Quansah | Robert Andrich | Edmond Tapsoba | Ernest Poku | Exequiel Palacios | Aleix García | Alejandro Grimaldo | Martin Terrier | Ibrahim Maza | Christian Kofane,[CASA] 90' Myles Lewis-Skelly entrou no lugar de Viktor Gyökeres | [FORA] 83' Ezequiel Fernández entrou no lugar de Robert Andrich | [FORA] 70' Patrik Schick entrou no lugar de Exequiel Palacios | [CASA] 69' Kai Havertz entrou no lugar de Eberechi Eze | [CASA] 69' Gabriel Martinelli entrou no lugar de Leandro Trossard | [CASA] 69' Cristhian Mosquera entrou no lugar de Ben White | [CASA] 68' Christian Nørgaard entrou no lugar de Martín Zubimendi | [FORA] 60' Montrell Culbreath entrou no lugar de Ernest Poku | [FORA] 60' Malik Tillman entrou no lugar de Martin Terrier,[CASA] 63' Declan Rice | [CASA] 36' Eberechi Eze,[CASA] 36' Leandro Trossard -> Eberechi Eze
PSG,"UEFA Champions League, Knockout stage",Europe,2026-03-17 20:00:00,Chelsea,Paris Saint-Germain,Chelsea x Paris Saint-Germain,0 x 3,4-2-3-1,4-3-3,Robert Sánchez | Mamadou Sarr | Trevoh Chalobah | Jorrel Hato | Marc Cucurella | Andrey Santos | Moisés Caicedo | Pedro Neto | Cole Palmer | Enzo Fernández | João Pedro,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | Warren Zaïre-Emery | Vitinha | João Neves | Bradley Barcola | Ousmane Dembélé | Khvicha Kvaratskhelia,[CASA] 86' None entrou no lugar de Trevoh Chalobah | [FORA] 73' Kang-in Lee entrou no lugar de Khvicha Kvaratskhelia | [CASA] 71' Tosin Adarabioyo entrou no lugar de Marc Cucurella | [FORA] 66' Gonçalo Ramos entrou no lugar de Ousmane Dembélé | [FORA] 66' Lucas Hernández entrou no lugar de Nuno Mendes | [CASA] 60' Roméo Lavia entrou no lugar de Enzo Fernández | [CASA] 59' Liam Delap entrou no lugar de João Pedro | [CASA] 59' Alejandro Garnacho entrou no lugar de Cole Palmer | [FORA] 59' Désiré Doué entrou no lugar de Bradley Barcola | [CASA] 46' Josh Acheampong entrou no lugar de Mamadou Sarr | [FORA] 46' Senny Mayulu entrou no lugar de João Neves,[FORA] 62' Senny Mayulu | [FORA] 14' Bradley Barcola | [FORA] 6' Khvicha Kvaratskhelia,[FORA] 14' Achraf Hakimi -> Bradley Barcola
Arsenal,Premier League,England,2026-03-14 17:30:00,Arsenal,Everton,Arsenal x Everton,2 x 0,4-2-3-1,4-2-3-1,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Riccardo Calafiori | Martín Zubimendi | Declan Rice | Bukayo Saka | Eberechi Eze | Noni Madueke | Kai Havertz,Jordan Pickford | James Garner | Jake O'Brien | Michael Keane | Vitaliy Mykolenko | Tim Iroegbunam | Idrissa Gana Gueye | Dwight McNeil | Kiernan Dewsbury-Hall | Iliman Ndiaye | Beto,[FORA] 90' Tyrique George entrou no lugar de Idrissa Gana Gueye | [FORA] 86' Harrison Armstrong entrou no lugar de Dwight McNeil | [FORA] 86' Merlin Röhl entrou no lugar de Tim Iroegbunam | [CASA] 74' Max Dowman entrou no lugar de Martín Zubimendi | [CASA] 74' Piero Hincapié entrou no lugar de Riccardo Calafiori | [FORA] 69' Thierno Barry entrou no lugar de Beto | [CASA] 61' Gabriel Martinelli entrou no lugar de Noni Madueke | [CASA] 61' Viktor Gyökeres entrou no lugar de Kai Havertz | [CASA] 38' Cristhian Mosquera entrou no lugar de Jurriën Timber,[CASA] 90+7' Max Dowman | [CASA] 89' Viktor Gyökeres,[CASA] 90+7' Gabriel Martinelli -> Max Dowman | [CASA] 89' Piero Hincapié -> Viktor Gyökeres
PSG,"UEFA Champions League, Knockout stage",Europe,2026-03-11 20:00:00,Paris Saint-Germain,Chelsea,Paris Saint-Germain x Chelsea,5 x 2,4-3-3,4-2-3-1,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | Warren Zaïre-Emery | Vitinha | João Neves | Désiré Doué | Ousmane Dembélé | Bradley Barcola,Filip Jørgensen | Malo Gusto | Wesley Fofana | Trevoh Chalobah | Marc Cucurella | Reece James | Moisés Caicedo | Cole Palmer | Enzo Fernández | Pedro Neto | João Pedro,[FORA] 88' Alejandro Garnacho entrou no lugar de Malo Gusto | [FORA] 83' Liam Delap entrou no lugar de João Pedro | [FORA] 83' Roméo Lavia entrou no lugar de Cole Palmer | [CASA] 78' Lucas Hernández entrou no lugar de Warren Zaïre-Emery | [CASA] 77' Senny Mayulu entrou no lugar de Bradley Barcola | [CASA] 69' Kang-in Lee entrou no lugar de Ousmane Dembélé | [CASA] 62' Khvicha Kvaratskhelia entrou no lugar de Désiré Doué,[CASA] 90+4' Khvicha Kvaratskhelia | [CASA] 86' Khvicha Kvaratskhelia | [CASA] 74' Vitinha | [FORA] 57' Enzo Fernández | [CASA] 40' Ousmane Dembélé | [FORA] 28' Malo Gusto | [CASA] 10' Bradley Barcola,[CASA] 90+4' Achraf Hakimi -> Khvicha Kvaratskhelia | [CASA] 86' Willian Pacho -> Khvicha Kvaratskhelia | [CASA] 74' Khvicha Kvaratskhelia -> Vitinha | [FORA] 57' Pedro Neto -> Enzo Fernández | [CASA] 40' Désiré Doué -> Ousmane Dembélé | [FORA] 28' Enzo Fernández -> Malo Gusto | [CASA] 10' João Neves -> Bradley Barcola
Arsenal,"UEFA Champions League, Knockout stage",Europe,2026-03-11 17:45:00,Bayer 04 Leverkusen,Arsenal,Bayer 04 Leverkusen x Arsenal,1 x 1,3-4-2-1,4-2-3-1,Janis Blaswich | Jarell Quansah | Robert Andrich | Edmond Tapsoba | Ernest Poku | Exequiel Palacios | Aleix García | Alejandro Grimaldo | Martin Terrier | Ibrahim Maza | Christian Kofane,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Bukayo Saka | Eberechi Eze | Gabriel Martinelli | Viktor Gyökeres,[CASA] 82' Jonas Hofmann entrou no lugar de Martin Terrier | [CASA] 82' Ezequiel Fernández entrou no lugar de Exequiel Palacios | [FORA] 82' Gabriel Jesus entrou no lugar de Eberechi Eze | [FORA] 74' Kai Havertz entrou no lugar de Viktor Gyökeres | [CASA] 74' Malik Tillman entrou no lugar de Ibrahim Maza | [FORA] 60' Noni Madueke entrou no lugar de Bukayo Saka,[FORA] 89' Kai Havertz | [CASA] 46' Robert Andrich,[CASA] 46' Alejandro Grimaldo -> Robert Andrich
Arsenal,FA Cup,England,2026-03-07 12:15:00,Mansfield Town,Arsenal,Mansfield Town x Arsenal,1 x 2,3-5-2,3-5-1-1,Liam Roberts | Kyle Knoyle | Adedeji Oshilaja | Frazer Blake-Tracy | Lucas Akins | Jon Russell | Louis Reed | George Abbott | Stephen McLaughlin | Rhys Oates | Tyler Roberts,Kepa Arrizabalaga | Marli Salmon | Cristhian Mosquera | Riccardo Calafiori | Noni Madueke | Max Dowman | Christian Nørgaard | Leandro Trossard | Gabriel Martinelli | Kai Havertz | Gabriel Jesus,[CASA] 87' Elliott Hewitt entrou no lugar de Kyle Knoyle | [CASA] 81' Oliver Irow entrou no lugar de Stephen McLaughlin | [CASA] 81' Victor Adeboyejo entrou no lugar de Rhys Oates | [FORA] 77' Bukayo Saka entrou no lugar de Max Dowman | [FORA] 76' Jaden Dixon entrou no lugar de Riccardo Calafiori | [CASA] 62' Aaron Lewis entrou no lugar de George Abbott | [FORA] 62' Jurriën Timber entrou no lugar de Marli Salmon | [FORA] 62' Eberechi Eze entrou no lugar de Kai Havertz | [CASA] 46' Will Evans entrou no lugar de Tyler Roberts | [FORA] 38' Piero Hincapié entrou no lugar de Leandro Trossard,[FORA] 66' Eberechi Eze | [CASA] 50' Will Evans | [FORA] 41' Noni Madueke,[FORA] 66' Christian Nørgaard -> Eberechi Eze | [FORA] 41' Gabriel Martinelli -> Noni Madueke
PSG,Ligue 1,France,2026-03-06 19:45:00,Paris Saint-Germain,AS Monaco,Paris Saint-Germain x AS Monaco,1 x 3,4-3-3,3-4-1-2,Matvey Safonov | Achraf Hakimi | Ilya Zabarnyi | Willian Pacho | Nuno Mendes | Warren Zaïre-Emery | Vitinha | Dro Fernández | Désiré Doué | Bradley Barcola | Khvicha Kvaratskhelia,Philipp Köhn | Thilo Kehrer | Denis Zakaria | Wout Faes | Vanderson | Aladji Bamba | Lamine Camara | Caio Henrique | Mamadou Coulibaly | Maghnes Akliouche | Folarin Balogun,[FORA] 81' Simon Adingra entrou no lugar de Maghnes Akliouche | [FORA] 81' Mika Biereth entrou no lugar de Folarin Balogun | [CASA] 74' Gonçalo Ramos entrou no lugar de Warren Zaïre-Emery | [CASA] 60' Kang-in Lee entrou no lugar de Dro Fernández | [CASA] 60' Ousmane Dembélé entrou no lugar de Khvicha Kvaratskhelia | [CASA] 60' Senny Mayulu entrou no lugar de Désiré Doué | [FORA] 54' Aleksandr Golovin entrou no lugar de Aladji Bamba | [FORA] 54' Christian Mawissa entrou no lugar de Caio Henrique | [FORA] 15' Jordan Teze entrou no lugar de Vanderson,[FORA] 73' Folarin Balogun | [CASA] 71' Bradley Barcola | [FORA] 55' Aleksandr Golovin | [FORA] 27' Maghnes Akliouche,[FORA] 73' Maghnes Akliouche -> Folarin Balogun | [CASA] 71' Achraf Hakimi -> Bradley Barcola | [FORA] 27' Folarin Balogun -> Maghnes Akliouche
Arsenal,Premier League,England,2026-03-04 19:30:00,Brighton & Hove Albion,Arsenal,Brighton & Hove Albion x Arsenal,0 x 1,4-2-3-1,4-2-3-1,Bart Verbruggen | Mats Wieffer | Jan Paul van Hecke | Olivier Boscagli | Ferdi Kadıoğlu | Carlos Baleba | Pascal Groß | Diego Gómez | Jack Hinshelwood | Kaoru Mitoma | Georginio Rutter,David Raya | Jurriën Timber | Cristhian Mosquera | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Bukayo Saka | Eberechi Eze | Gabriel Martinelli | Viktor Gyökeres,[FORA] 80' Christian Nørgaard entrou no lugar de Martín Zubimendi | [CASA] 78' Yasin Ayari entrou no lugar de Carlos Baleba | [CASA] 77' Harry Howell entrou no lugar de Diego Gómez | [CASA] 77' Joël Veltman entrou no lugar de Mats Wieffer | [CASA] 69' Danny Welbeck entrou no lugar de Jack Hinshelwood | [FORA] 64' Riccardo Calafiori entrou no lugar de Cristhian Mosquera | [FORA] 60' Leandro Trossard entrou no lugar de Gabriel Martinelli | [FORA] 59' Kai Havertz entrou no lugar de Viktor Gyökeres | [CASA] 46' Yankuba Minteh entrou no lugar de Kaoru Mitoma,[FORA] 9' Bukayo Saka,[FORA] 9' Jurriën Timber -> Bukayo Saka
Arsenal,Premier League,England,2026-03-01 16:30:00,Arsenal,Chelsea,Arsenal x Chelsea,2 x 1,4-2-3-1,4-3-3,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Bukayo Saka | Eberechi Eze | Leandro Trossard | Viktor Gyökeres,Robert Sánchez | Reece James | Trevoh Chalobah | Mamadou Sarr | Jorrel Hato | Moisés Caicedo | Andrey Santos | Enzo Fernández | Pedro Neto | João Pedro | Cole Palmer,[FORA] 90' Tosin Adarabioyo entrou no lugar de Mamadou Sarr | [FORA] 86' Alejandro Garnacho entrou no lugar de Cole Palmer | [FORA] 86' Liam Delap entrou no lugar de Enzo Fernández | [CASA] 76' Kai Havertz entrou no lugar de Viktor Gyökeres | [CASA] 76' Christian Nørgaard entrou no lugar de Declan Rice | [FORA] 75' Malo Gusto entrou no lugar de Jorrel Hato | [FORA] 75' Roméo Lavia entrou no lugar de Andrey Santos | [CASA] 56' Gabriel Martinelli entrou no lugar de Leandro Trossard,[CASA] 66' Jurriën Timber | [FORA] 45+2' Piero Hincapié | [CASA] 21' William Saliba,[CASA] 66' Declan Rice -> Jurriën Timber | [CASA] 21' Gabriel Magalhães -> William Saliba
PSG,Ligue 1,France,2026-02-28 20:05:00,Le Havre,Paris Saint-Germain,Le Havre x Paris Saint-Germain,0 x 1,3-4-2-1,4-3-3,Mory Diaw | Stephan Zagadou | Ayumu Seko | Gautier Lloris | Timothee Pembele | Simon Ebonog | Lucas Gourna-Douath | Yanis Zouaoui | Rassoul Ndiaye | Sofiane Boufal | Issa Soumaré,Matvey Safonov | Achraf Hakimi | Ilya Zabarnyi | Willian Pacho | Lucas Hernández | Warren Zaïre-Emery | Vitinha | Dro Fernández | Kang-in Lee | Bradley Barcola | Khvicha Kvaratskhelia,[CASA] 84' Ally Samatta entrou no lugar de Lucas Gourna-Douath | [CASA] 84' Yassine Kechta entrou no lugar de Stephan Zagadou | [FORA] 71' Ibrahim Mbaye entrou no lugar de Khvicha Kvaratskhelia | [CASA] 71' Kenny Quetant entrou no lugar de Sofiane Boufal | [CASA] 62' Enzo Koffi entrou no lugar de Yanis Zouaoui | [CASA] 61' Fodé Doucouré entrou no lugar de Timothee Pembele | [FORA] 61' Nuno Mendes entrou no lugar de Dro Fernández | [FORA] 61' Désiré Doué entrou no lugar de Kang-in Lee,[FORA] 37' Bradley Barcola,[FORA] 37' Kang-in Lee -> Bradley Barcola
PSG,"UEFA Champions League, Knockout stage",Europe,2026-02-25 20:00:00,Paris Saint-Germain,AS Monaco,Paris Saint-Germain x AS Monaco,2 x 2,4-3-3,3-5-2,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | Warren Zaïre-Emery | Vitinha | João Neves | Khvicha Kvaratskhelia | Désiré Doué | Bradley Barcola,Philipp Köhn | Thilo Kehrer | Denis Zakaria | Wout Faes | Vanderson | Mamadou Coulibaly | Aladji Bamba | Lamine Camara | Caio Henrique | Maghnes Akliouche | Folarin Balogun,[FORA] 90' Samuel Nibombe entrou no lugar de Vanderson | [CASA] 88' Gonçalo Ramos entrou no lugar de Désiré Doué | [CASA] 87' Dro Fernández entrou no lugar de Warren Zaïre-Emery | [CASA] 80' Lucas Hernández entrou no lugar de Nuno Mendes | [FORA] 74' Christian Mawissa entrou no lugar de Denis Zakaria | [FORA] 74' Simon Adingra entrou no lugar de Maghnes Akliouche | [FORA] 74' Mika Biereth entrou no lugar de Folarin Balogun | [CASA] 69' Kang-in Lee entrou no lugar de Bradley Barcola | [FORA] 62' Jordan Teze entrou no lugar de Aladji Bamba,[FORA] 90+1' Jordan Teze | [CASA] 66' Khvicha Kvaratskhelia | [CASA] 60' Marquinhos | [FORA] 45' Maghnes Akliouche,[CASA] 60' Désiré Doué -> Marquinhos | [FORA] 45' Mamadou Coulibaly -> Maghnes Akliouche
Arsenal,Premier League,England,2026-02-22 16:30:00,Tottenham Hotspur,Arsenal,Tottenham Hotspur x Arsenal,1 x 4,3-5-2,4-2-3-1,Guglielmo Vicario | João Palhinha | Radu Drăguşin | Micky van de Ven | Archie Gray | Conor Gallagher | Yves Bissouma | Pape Matar Sarr | Djed Spence | Randal Kolo Muani | Xavi Simons,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Bukayo Saka | Eberechi Eze | Leandro Trossard | Viktor Gyökeres,[FORA] 90' Noni Madueke entrou no lugar de Bukayo Saka | [CASA] 82' Mathys Tel entrou no lugar de João Palhinha | [FORA] 77' Martin Ødegaard entrou no lugar de Eberechi Eze | [FORA] 76' Gabriel Martinelli entrou no lugar de Leandro Trossard | [CASA] 68' Richarlison entrou no lugar de Randal Kolo Muani | [CASA] 62' Dominic Solanke entrou no lugar de Conor Gallagher | [FORA] 57' Cristhian Mosquera entrou no lugar de Jurriën Timber,[FORA] 90+4' Viktor Gyökeres | [FORA] 61' Eberechi Eze | [FORA] 47' Viktor Gyökeres | [CASA] 34' Randal Kolo Muani | [FORA] 32' Eberechi Eze,[FORA] 90+4' Martin Ødegaard -> Viktor Gyökeres | [FORA] 47' Jurriën Timber -> Viktor Gyökeres
PSG,Ligue 1,France,2026-02-21 20:05:00,Paris Saint-Germain,Metz,Paris Saint-Germain x Metz,3 x 0,4-3-3,4-1-4-1,Matvey Safonov | Achraf Hakimi | Ilya Zabarnyi | Lucas Beraldo | Lucas Hernández | Kang-in Lee | Warren Zaïre-Emery | Dro Fernández | Désiré Doué | Gonçalo Ramos | Bradley Barcola,Jonathan Fischer | Koffi Kouao | Sadibou Sané | Terry Yegbe | Fodé Ballo-Touré | Jean-Philippe Gbamin | Lucas Michal | Alpha Touré | Boubacar Traoré | Giorgi Tsitaishvili | Habibou Diallo,[FORA] 88' Nathan Mbala entrou no lugar de Giorgi Tsitaishvili | [FORA] 78' Giorgi Kvilitaia entrou no lugar de Alpha Touré | [FORA] 66' Jessy Deminguet entrou no lugar de Fodé Ballo-Touré | [FORA] 66' Bouna Sarr entrou no lugar de Lucas Michal | [FORA] 66' Giorgi Abuashvili entrou no lugar de Koffi Kouao | [CASA] 64' Khvicha Kvaratskhelia entrou no lugar de Bradley Barcola | [CASA] 63' Vitinha entrou no lugar de Kang-in Lee | [CASA] 63' João Neves entrou no lugar de Dro Fernández | [CASA] 46' Ibrahim Mbaye entrou no lugar de Désiré Doué,[CASA] 77' Gonçalo Ramos | [CASA] 45+3' Bradley Barcola | [CASA] 3' Désiré Doué,[CASA] 77' Lucas Hernández -> Gonçalo Ramos | [CASA] 45+3' Gonçalo Ramos -> Bradley Barcola | [CASA] 3' Warren Zaïre-Emery -> Désiré Doué
Arsenal,Premier League,England,2026-02-18 20:00:00,Wolverhampton,Arsenal,Wolverhampton x Arsenal,2 x 2,3-4-2-1,4-2-3-1,José Sá | Yerson Mosquera | Santiago Bueno | Ladislav Krejčí | Jackson Tchatchoua | Angel Gomes | André | Hugo Bueno | Jean-Ricner Bellegarde | Mateus Mané | Adam Armstrong,David Raya | Jurriën Timber | William Saliba | Gabriel Magalhães | Piero Hincapié | Martín Zubimendi | Declan Rice | Noni Madueke | Bukayo Saka | Gabriel Martinelli | Viktor Gyökeres,[FORA] 90' Riccardo Calafiori entrou no lugar de Leandro Trossard | [CASA] 84' Tom Edozie entrou no lugar de Jean-Ricner Bellegarde | [FORA] 73' Leandro Trossard entrou no lugar de Bukayo Saka | [CASA] 70' Rodrigo Gomes entrou no lugar de Jackson Tchatchoua | [FORA] 65' Eberechi Eze entrou no lugar de Noni Madueke | [FORA] 65' Gabriel Jesus entrou no lugar de Viktor Gyökeres | [CASA] 22' Tolu Arokodare entrou no lugar de Angel Gomes,[CASA] 90+4' Tom Edozie | [CASA] 61' Hugo Bueno | [FORA] 56' Piero Hincapié | [FORA] 5' Bukayo Saka,[CASA] 61' Santiago Bueno -> Hugo Bueno | [FORA] 56' Gabriel Magalhães -> Piero Hincapié | [FORA] 5' Declan Rice -> Bukayo Saka
PSG,"UEFA Champions League, Knockout stage",Europe,2026-02-17 20:00:00,AS Monaco,Paris Saint-Germain,AS Monaco x Paris Saint-Germain,2 x 3,4-2-3-1,4-3-3,Philipp Köhn | Vanderson | Jordan Teze | Wout Faes | Caio Henrique | Lamine Camara | Denis Zakaria | Maghnes Akliouche | Aleksandr Golovin | Simon Adingra | Folarin Balogun,Matvey Safonov | Achraf Hakimi | Marquinhos | Willian Pacho | Nuno Mendes | Warren Zaïre-Emery | Vitinha | João Neves | Khvicha Kvaratskhelia | Ousmane Dembélé | Bradley Barcola,[CASA] 83' Mika Biereth entrou no lugar de Folarin Balogun | [FORA] 81' Gonçalo Ramos entrou no lugar de Bradley Barcola | [CASA] 70' Aladji Bamba entrou no lugar de Vanderson | [CASA] 70' Mamadou Coulibaly entrou no lugar de Simon Adingra | [FORA] 69' Kang-in Lee entrou no lugar de Khvicha Kvaratskhelia | [CASA] 58' Krépin Diatta entrou no lugar de Maghnes Akliouche | [FORA] 27' Désiré Doué entrou no lugar de Ousmane Dembélé,[FORA] 67' Désiré Doué | [FORA] 41' Achraf Hakimi | [FORA] 29' Désiré Doué | [CASA] 18' Folarin Balogun | [CASA] 1' Folarin Balogun,[FORA] 67' Warren Zaïre-Emery -> Désiré Doué | [FORA] 29' Bradley Barcola -> Désiré Doué | [CASA] 18' Maghnes Akliouche -> Folarin Balogun | [CASA] 1' Aleksandr Golovin -> Folarin Balogun
Arsenal,FA Cup,England,2026-02-15 16:30:00,Arsenal,Wigan Athletic,Arsenal x Wigan Athletic,4 x 0,4-2-3-1,3-4-2-1,Kepa Arrizabalaga | Ben White | William Saliba | Cristhian Mosquera | Myles Lewis-Skelly | Christian Nørgaard | Eberechi Eze | Noni Madueke | Bukayo Saka | Gabriel Martinelli | Gabriel Jesus,Sam Tickle | Jack Hunt | Jason Kerr | Will Aimson | Raphael Rodrigues | Owen Moxon | Jensen Weir | Morgan Fox | Fraser Murray | Callum Wright | Joe Taylor,[CASA] 87' Tommy Setford entrou no lugar de Kepa Arrizabalaga | [CASA] 79' Martín Zubimendi entrou no lugar de Ben White | [FORA] 78' Harrison Bettoni entrou no lugar de Raphael Rodrigues | [FORA] 77' Joseph Hungbo entrou no lugar de Owen Moxon | [FORA] 77' Steven Sessegnon entrou no lugar de Jason Kerr | [FORA] 63' Dara Costelloe entrou no lugar de Joe Taylor | [CASA] 62' Leandro Trossard entrou no lugar de Noni Madueke | [CASA] 61' Marli Salmon entrou no lugar de William Saliba | [CASA] 46' Viktor Gyökeres entrou no lugar de Bukayo Saka | [FORA] 30' Matthew Smith entrou no lugar de Jack Hunt,[CASA] 27' Gabriel Jesus | [CASA] 23' Jack Hunt | [CASA] 18' Gabriel Martinelli | [CASA] 11' Noni Madueke,[CASA] 27' Christian Nørgaard -> Gabriel Jesus | [CASA] 18' Eberechi Eze -> Gabriel Martinelli | [CASA] 11' Eberechi Eze -> Noni Madueke
PSG,Ligue 1,France,2026-02-13 18:00:00,Stade Rennais,Paris Saint-Germain,Stade Rennais x Paris Saint-Germain,3 x 1,4-2-3-1,4-3-3,Brice Samba | Mahamadou Nagida | Anthony Rouault | Lilian Brassier | Quentin Merlin | Valentin Rongier | Mahdi Camara | Mousa Tamari | Sebastian Szymański | Arnaud Nordin | Esteban Lepaul,Matvey Safonov | Achraf Hakimi | Ilya Zabarnyi | Willian Pacho | Nuno Mendes | Warren Zaïre-Emery | Vitinha | João Neves | Désiré Doué | Ousmane Dembélé | Khvicha Kvaratskhelia,[CASA] 90' Elias Legendre Quiñonez Zae entrou no lugar de Mousa Tamari | [CASA] 74' Djaoui Cissé entrou no lugar de Sebastian Szymański | [CASA] 74' Breel Embolo entrou no lugar de Esteban Lepaul | [FORA] 74' Gonçalo Ramos entrou no lugar de Ousmane Dembélé | [FORA] 71' Dro Fernández entrou no lugar de João Neves | [CASA] 65' Ludovic Blas entrou no lugar de Arnaud Nordin | [FORA] 60' Kang-in Lee entrou no lugar de Khvicha Kvaratskhelia | [FORA] 60' Bradley Barcola entrou no lugar de Désiré Doué,[CASA] 81' Breel Embolo | [FORA] 71' Ousmane Dembélé | [CASA] 69' Esteban Lepaul | [CASA] 34' Mousa Tamari,[CASA] 81' Ludovic Blas -> Breel Embolo | [CASA] 69' Sebastian Szymański -> Esteban Lepaul
